RAJ2000,DEJ2000,SrcIDgaia,RAgaia,e_RAgaia,DEgaia,e_DEgaia,EPucac,pmRA,e_pmRA,pmDE,e_pmDE,Gmag,phot_g_mean_mag,phot_g_mean_flux,phot_g_mean_flux_error
15.2703081,36.3710783,363606021404760064,15.2703111,0.4,36.3710828,0.3,2001.898,0.7,1.1,1.2,1.1,9.77,9.770124657709555,2003817.4876765984,1068.7246553795528
14.9670156,36.9106417,364385781306893312,14.9670433,1.0,36.9106197,0.8,2001.919,6.1,1.4,-6.1,1.4,9.828,9.828184328949236,1899478.1141168345,732.1208289345332
14.7441647,37.2122578,364475185346743936,14.7441381,0.4,37.2122344,0.2,2001.937,-5.8,1.0,-6.5,1.0,10.336,10.33578655823213,1190127.258276889,841.5533784490024
15.05963,36.729355,363629867062789632,15.0596806,0.7,36.7293481,0.7,2001.92,11.1,1.2,-1.9,1.2,10.4,10.399758188427242,1122030.7266252788,1005.594035042591
14.8714664,37.2903758,364477246931043072,14.8715783,0.6,37.2902425,0.4,2001.938,24.6,1.1,-36.8,1.0,10.602,10.602016742446567,931325.1446924523,746.9448175935103
15.2465456,36.4091297,363609148140559872,15.2465103,1.1,36.4090147,0.1,2001.901,-7.8,1.2,-31.6,1.2,10.839,10.839152453516622,748595.2104160853,1662.894390803416
14.8572789,37.3177558,364477521808948480,14.8572542,0.4,37.3177164,0.2,2001.938,-5.4,1.1,-10.9,1.0,10.873,10.87336134522513,725376.5096852604,1805.302582117003
15.0470458,36.9347431,364409145928981888,15.0470372,0.4,36.9347272,0.4,2001.92,-1.9,1.2,-4.4,1.2,11.064,11.064122219740353,608497.9754842599,3338.4941979416562
15.2558275,36.7314942,363649623912351104,15.2557847,0.5,36.7314911,0.1,2001.928,-9.5,1.2,-0.8,1.2,11.139,11.13942350477828,567725.7904140396,454.31055212612006
15.2200419,36.5034558,363612068718318848,15.2201172,0.2,36.50345,0.1,2001.909,16.7,1.0,-1.6,1.0,11.175,11.175459965718657,549191.7938038582,408.3246045119368
14.9078639,36.971275,364398700568516864,14.9078647,0.6,36.9712844,0.2,2001.92,0.2,1.2,2.6,1.2,11.183,11.182583470005675,545600.3465924517,785.2243617786613
14.7579681,37.2160678,364475219706481920,14.7579133,0.6,37.2159975,0.2,2001.937,-12.0,1.0,-19.4,1.0,11.215,11.21454185199899,529774.7860148663,1699.3073359384514
15.1132125,36.8975767,364406190991484288,15.1132556,1.0,36.8975753,0.6,2001.926,9.5,1.1,-0.4,1.1,11.489,11.489435634975539,411276.38309902605,147.8677328718344
14.8956757,37.0790211,364423645738568320,14.8956772,0.3,37.0789428,0.1,2001.937,0.4,1.1,-21.6,1.0,11.839,11.838558818711737,298184.1110533037,80.9439478617035
15.2165903,36.7060006,363649520833136512,15.2167128,2.6,36.7058239,1.6,2001.927,27.0,1.3,-48.6,1.3,12.051,12.051334367499642,245117.47743133875,55.381976220338125
15.1737731,36.7665242,363653609642001280,15.1737075,0.3,36.7665144,0.1,2001.928,-14.4,1.3,-2.6,1.2,12.324,12.324454262761774,190601.50276281443,62.45015873457562
15.1432961,36.584135,363625056699420160,15.1434403,0.5,36.5841467,0.3,2001.925,31.9,1.1,3.2,1.1,12.326,12.325598192455917,190400.7911188258,121.36546572714796
15.1089383,36.8053744,364404541724045568,15.1089369,0.4,36.8053747,0.2,2001.925,-0.3,1.1,0.0,1.1,12.328,12.328307159487705,189926.32362104775,87.43622471063314
15.2722369,36.7345506,363650001869473024,15.2722167,0.4,36.73456,0.3,2001.927,-4.5,1.3,2.6,1.3,12.385,12.385051947711737,180254.96937887478,85.10963371551128
14.9963139,37.1874228,364425879121560448,14.9963342,0.5,37.1873858,0.2,2001.938,4.5,1.1,-10.2,1.1,12.436,12.435516385345565,172068.5390735355,81.654779838656
15.1326233,36.7262444,363629970142004864,15.1325378,0.6,36.7261753,0.4,2001.925,-18.9,1.1,-19.0,1.1,12.447,12.447265298343158,170216.59795004348,58.27178275632877
15.0820278,36.7880183,364381108382479360,15.0820347,5.5,36.7880036,1.8,2001.92,1.6,1.3,-4.0,1.3,12.656,12.655790756829095,140472.6329837369,46.838398030510334
15.1033703,36.9157258,364406259710960384,15.1034072,0.8,36.9157156,0.5,2001.925,8.1,1.1,-2.8,1.1,12.722,12.722405430524704,132113.09088521646,121.71693431650748
15.0478331,36.7794586,364381177101956480,15.0478075,3.0,36.7794478,1.9,2001.92,-5.6,1.3,-2.9,1.3,12.729,12.728681346517552,131351.6361768768,69.11301040248117
14.9904425,36.822885,364381898656460032,14.9905442,1.8,36.8228486,0.6,2001.92,22.4,1.3,-10.0,1.3,12.794,12.793810975217731,123703.96940017502,91.5771700705564
14.7141178,37.3388261,364479926993432320,14.7141694,0.3,37.3388492,0.1,2001.937,11.3,1.1,6.4,1.1,12.936,12.936423313274837,108477.25832662027,44.129602768395756
14.71593,37.3318169,364479926990633728,14.7159656,0.3,37.3318633,0.1,2001.937,7.8,1.1,12.8,1.1,12.967,12.967436187842626,105422.5581358454,70.38540964188083
15.3631028,36.3969425,363606777319003904,15.3631303,17.3,36.3969294,9.4,2001.899,6.1,1.7,-3.6,1.3,13.014,13.014174506041075,100980.66424193203,33.395256127843645
15.2712922,36.6986453,363649314674706432,15.2711706,0.8,36.6985122,0.2,2001.928,-26.9,1.4,-36.7,1.4,13.066,13.065632009823517,96306.41611528936,90.44293469958974
15.1738681,36.6110469,363625194140492416,15.1739425,14.0,36.61103,5.3,2001.927,16.5,1.7,-4.6,1.4,13.101,13.101475138044938,93178.98391783959,65.74448965693615
15.1682957,36.6597558,363625881333139840,15.1683019,0.3,36.6597833,0.1,2001.927,1.3,1.3,7.6,1.3,13.271,13.27077000986193,79726.00850032204,86.95898168408334
14.8344047,37.2247931,364428559181777792,14.8343836,9.0,37.2247686,3.8,2001.938,-4.6,1.3,-6.7,1.2,13.282,13.281501304588302,78941.88705268299,97.00395759002782
15.135675,36.9236128,364406328430436480,15.1356389,0.3,36.9236594,0.1,2001.925,-7.9,1.2,12.9,1.2,13.311,13.311241827973628,76808.85557907348,592.2053256088378
15.1550179,36.5680808,363623510511193984,15.1550106,0.7,36.5680653,0.3,2001.926,-1.6,1.3,-4.3,1.4,13.376,13.37624179081544,72345.4644667026,27.15416564523402
14.8430675,37.1563517,364427012993554048,14.8429864,4.3,37.1563544,9.7,2001.936,-17.8,1.2,0.8,1.4,13.43,13.430301483829066,68831.5313892269,43.70872660829175
15.3403414,36.43881,363607812405858432,15.34041,0.5,36.4388078,0.2,2001.898,15.2,1.3,-0.6,1.3,13.449,13.448719588788318,67673.74179519042,502.79278991031134
14.9191453,37.0657864,364423370860661632,14.9192336,11.8,37.0656733,6.0,2001.936,19.4,1.5,-31.2,1.3,13.479,13.478785989101231,65825.41864904547,55.10895054856413
15.2462903,36.5757094,363624438224129664,15.2462831,0.2,36.5757014,0.1,2001.927,-1.6,1.4,-2.2,1.4,13.495,13.49525058691523,64834.74256645996,23.887264923848882
15.1021589,36.9705933,364409626965317760,15.1021692,0.3,36.9705703,0.1,2001.928,2.3,1.2,-6.4,1.2,13.509,13.508874465921647,64026.27552058655,24.818792863376892
15.0163789,36.8729989,364382482772011136,15.0163756,0.4,36.8729922,0.1,2001.92,-0.8,1.4,-1.8,1.4,13.511,13.510714330356668,63917.86989431404,35.77246616948976
