guide_ra,guide_dec,phot_g_mean_mag,cmos_id
13.987215,37.3637903,11.622,1
13.974961,37.4542472,12.172,1
13.9592675,37.4357967,14.1,1
13.9740839,37.4006808,14.303,1
14.0090686,37.4151875,14.868,1
13.8922958,37.4366192,14.28,1
13.9078717,37.3520839,13.89,1
14.2104397,37.4318819,10.676,2
14.0454953,37.4660831,11.584,2
14.1578758,37.4619519,12.712,2
14.0587206,37.4380803,14.271,2
14.020853,37.50074,11.342,2
14.0795883,37.5137228,12.416,2
14.1629,37.5260342,13.81,2
14.1022853,37.5787308,13.929,2
14.1028408,37.5040503,14.841,2
15.2483861,37.0066706,9.507,3
15.2800136,36.8902267,10.788,3
15.2699586,36.8928861,12.815,3
15.1838542,36.9682847,12.935,3
15.2667038,36.9571636,13.415,3
15.2845578,36.8706919,13.478,3
15.2386886,37.0074111,14.17,3
15.258425,36.9027856,14.216,3
15.4370533,37.0081492,11.489,4
15.4631068,36.9500489,11.621,4
15.4313039,37.0722636,12.33,4
15.4716283,36.9167411,12.667,4
15.4549025,36.9839592,13.085,4
15.4845122,36.9590494,13.158,4
15.4791231,37.0210214,13.568,4
15.4568835,37.0430147,13.695,4
15.4769161,36.9219481,14.322,4
15.4476686,36.9506128,14.385,4
15.3970628,36.9619269,14.427,4
15.4278089,36.9998519,14.468,4
15.4473517,37.0115911,14.891,4
15.4556525,37.013095,14.91,4
15.4181608,36.9051003,14.117,4
9.7037294,36.9814425,11.951,1
9.6680261,37.0018503,14.135,1
9.6082131,36.9054508,11.905,1
9.6102772,36.9594047,13.1,1
9.6622758,36.9088842,13.889,1
9.6985753,36.8908897,12.708,1
9.7520053,36.8570933,14.02,1
9.6852206,36.9116236,14.038,1
9.6864036,36.8490658,9.712,1
9.6786638,36.8800194,12.903,1
9.6561878,36.8812064,14.163,1
9.9491069,36.9469967,13.13,2
9.9039598,37.0065275,14.197,2
9.7612514,37.0218511,13.937,2
9.7902735,37.0108753,14.056,2
9.8287597,36.9992514,14.592,2
9.8318861,37.0408431,14.84,2
9.8614136,36.9213036,13.318,2
9.8282261,36.8995531,13.677,2
9.8027831,36.9283542,13.91,2
11.0878282,36.4093536,11.933,3
10.9714803,36.3878897,13.586,3
10.97837,36.4028531,14.062,3
10.9858305,36.3300947,14.101,3
10.9648014,36.390605,14.238,3
11.01638,36.4563961,14.253,3
11.1107969,36.379165,14.564,3
10.9875981,36.3357486,14.591,3
10.9562833,36.4179186,11.368,3
10.9107189,36.4701897,13.17,3
10.9954308,36.4811261,14.246,3
11.0072117,36.4883397,14.61,3
11.1354266,36.4146083,11.348,4
11.1383667,36.4496519,12.076,4
11.2158895,36.4300217,13.854,4
11.1505086,36.4656689,14.468,4
11.1654242,36.4595044,14.908,4
11.2328351,36.4647136,13.203,4
11.1474053,36.5256611,10.383,4
11.1084275,36.5531006,12.972,4
11.1605139,36.5696933,14.718,4
11.3293155,39.3125386,12.591,1
11.3187786,39.2788839,13.523,1
11.3560406,39.3062922,13.992,1
11.3166085,39.2779094,14.057,1
11.3342847,39.3137589,14.488,1
11.1884519,39.4060561,14.145,1
11.2341728,39.2674764,14.885,1
11.3696575,39.4647847,13.43,2
11.3926536,39.4238258,13.541,2
11.3322517,39.4448936,13.637,2
11.3911086,39.4642164,14.995,2
11.4377342,39.3265469,13.465,2
11.4222239,39.3549608,13.861,2
11.3534967,39.3945111,14.456,2
12.6937119,38.7985342,11.368,3
12.690115,38.8868414,13.341,3
12.718453,38.8108836,13.496,3
12.6677864,38.8852956,13.666,3
12.6866869,38.8677292,13.825,3
12.6366723,38.8333144,14.259,3
12.6353003,38.9399256,10.938,3
12.6262271,38.9250375,12.739,3
12.5758872,38.8927125,11.162,3
12.60855,38.942355,13.303,3
12.5719128,38.9187903,14.91,3
12.6562333,38.7736931,14.234,3
12.6078603,38.7577289,14.237,3
12.8214089,38.8938781,13.663,4
12.7505918,38.89801,14.051,4
12.8325467,38.845415,14.113,4
12.7599944,38.9234156,14.654,4
12.8344897,38.8762275,14.766,4
12.8537389,38.9312256,10.98,4
12.7672775,39.0071544,13.057,4
12.7088645,38.9459825,13.519,4
12.7184556,38.9523142,14.222,4
12.7651789,38.9874889,14.273,4
12.8007897,39.0105742,14.781,4
5.1511747,39.1557853,13.142,1
5.1154158,39.2008081,13.316,1
5.0423267,39.1386053,13.687,1
5.0592817,39.1300256,13.854,1
5.0824966,39.1459328,14.059,1
5.0721064,39.24063,14.237,1
