guide_ra,guide_dec,phot_g_mean_mag,cmos_id
14.0693928,37.1532986,10.77,1
14.0452175,37.1600567,13.332,1
14.0807253,37.1813564,14.828,1
13.8880053,37.0838978,13.003,1
13.9242367,37.1322661,13.555,1
13.9183228,37.1304681,13.66,1
13.8922764,37.1116158,13.957,1
13.9760364,37.1298086,14.202,1
13.9894958,37.0999358,14.313,1
14.0377147,37.15162,14.51,1
14.0048506,37.1455664,14.67,1
14.1092025,37.0672783,11.46,1
13.9908333,36.9854519,12.764,2
14.0662564,36.9615781,13.096,2
14.0663306,36.9225833,13.105,2
14.0103817,36.8963606,13.411,2
14.0029393,36.9718844,13.843,2
14.1065646,36.9338781,13.936,2
14.0101697,37.0090364,14.164,2
14.0524492,36.9913372,14.292,2
14.1018389,36.8953567,14.375,2
14.022305,36.9939547,14.608,2
13.9458133,36.9923297,14.608,2
14.2034947,37.0232767,13.957,2
14.133965,36.9514756,14.095,2
14.0937968,37.0301086,14.337,2
14.1441139,36.7499347,9.767,3
14.1866347,36.8247017,13.24,3
14.1338475,36.8497211,13.97,3
14.1025069,36.8519831,14.144,3
14.0430303,36.849035,14.551,3
14.2884114,36.8488867,9.571,3
14.2084869,36.9001942,13.477,3
14.2895675,36.8731317,13.632,3
14.2367139,36.848705,13.958,3
14.2226117,36.8495278,14.128,3
14.2148694,36.8182664,14.371,3
14.2198017,36.8604125,14.527,3
14.2952864,36.8395469,14.564,3
14.3261766,36.8204517,14.611,3
14.2090358,36.9302258,14.629,3
14.2031636,36.8089814,14.754,3
14.165834,36.8795819,14.901,3
14.1910768,36.9102075,14.965,3
14.2916306,36.6787972,10.312,4
14.2044162,36.6126489,12.018,4
14.2396383,36.68833,13.087,4
14.2009557,36.6052303,13.321,4
14.2605833,36.6906556,13.38,4
14.316572,36.6465361,14.05,4
14.2267778,36.6750317,14.485,4
14.1732761,36.6621292,14.701,4
14.2038294,36.7002347,14.773,4
14.2236031,36.6624678,14.868,4
14.3047217,36.6507892,14.942,4
14.3233156,36.7752986,11.171,4
14.3352968,36.7731283,13.085,4
14.2383136,36.7721269,14.183,4
14.3447142,36.6857967,14.199,4
14.3206167,36.7116,14.293,4
14.34272,36.7198369,14.307,4
14.3590661,36.7672817,14.341,4
14.3539847,36.7749139,14.763,4
15.3861172,37.8787583,10.179,5
15.4527297,37.9261028,10.948,5
15.3568839,37.9203603,11.98,5
15.4005028,37.8523447,12.302,5
15.3541514,37.9109042,12.363,5
15.298317,37.8510978,12.376,5
15.2946906,37.8695031,12.571,5
15.3703828,37.8609261,12.582,5
15.434184,37.9428558,12.68,5
15.2665589,37.8645906,12.821,5
15.3107264,37.8151992,13.461,5
15.2582757,37.8628825,13.701,5
15.33833,37.8272431,13.759,5
15.4572872,37.8926619,13.934,5
15.3722606,37.9354731,13.974,5
15.4825786,37.8749725,14.142,5
15.4039497,37.8227914,14.438,5
15.2929847,37.8797122,14.467,5
15.418125,37.9428311,14.626,5
15.3742844,37.8777722,14.708,5
15.3671927,37.8780853,14.727,5
15.28526,37.8121322,14.735,5
15.4644203,37.8731408,14.884,5
15.4392414,37.8980731,14.936,5
15.3568611,37.7721006,14.882,5
15.3030578,37.7719556,14.903,5
15.5326458,37.8239789,10.522,6
15.5204958,37.7791006,12.164,6
15.5043753,37.7493525,12.281,6
15.5515217,37.6825806,12.61,6
15.5217447,37.7716844,13.786,6
15.5344583,37.7530617,13.891,6
15.5622569,37.6946864,14.069,6
15.5395933,37.8056944,14.712,6
15.3815503,37.6779794,11.943,6
15.4605225,37.7809244,12.191,6
15.4739434,37.7253586,12.56,6
15.4191825,37.7312586,13.161,6
15.5115108,37.6596828,13.344,6
15.3795978,37.6221378,13.489,6
15.4240894,37.633555,13.528,6
15.4179806,37.6664675,13.916,6
15.4190156,37.7810083,14.04,6
15.4574583,37.7277417,14.181,6
15.5171314,37.7093344,14.599,6
15.401965,37.6854883,14.663,6
15.4182631,37.7866453,14.678,6
15.5127459,37.6736775,14.777,6
15.6384689,37.6335006,12.204,7
15.5846028,37.6660258,14.069,7
15.6297722,37.5661728,14.831,7
15.3895819,37.6090197,11.438,7
15.4735675,37.6159617,12.637,7
15.5003322,37.6310136,13.135,7
15.516892,37.5620036,13.27,7
15.5457689,37.6161869,14.028,7
15.493452,37.6320625,14.107,7
15.5555778,37.6063019,14.408,7
15.4412169,37.6088589,14.64,7
15.4900006,37.4909611,13.925,7
15.7281893,37.4390136,13.177,8
15.6452383,37.4815389,12.99,8
15.6656703,37.4360756,12.996,8
15.5567083,37.49765,13.169,8
15.5680467,37.4831997,14.061,8
15.5872992,37.5043728,14.087,8
15.6053222,37.5229678,14.445,8
15.6473931,37.4203378,12.83,8
15.6061321,37.4312369,12.948,8
15.5355883,37.425315,13.33,8
15.6053908,37.4007336,13.664,8
15.5909688,37.4140008,13.692,8
15.6647644,37.3942322,13.767,8
15.5549258,37.3730544,14.031,8
15.6050164,37.4135231,14.699,8
15.5914516,37.3824322,14.829,8
15.6471601,37.4032528,14.838,8
15.680149,37.3960058,14.893,8
15.6534925,37.4039547,14.906,8
9.8643568,36.5882339,13.42,1
9.8146225,36.5587964,14.241,1
9.6798095,36.5937542,8.318,1
9.6446878,36.6185097,12.382,1
9.6958631,36.5021967,12.623,1
9.7625786,36.6734275,12.654,1
9.7273901,36.6572394,12.901,1
9.7083244,36.5747731,12.988,1
9.78615,36.5770444,13.089,1
9.7682656,36.5915683,13.425,1
9.7870682,36.6098606,13.454,1
9.7175053,36.5019153,13.746,1
9.7461531,36.5310078,13.773,1
9.7215406,36.6413939,14.055,1
9.7795008,36.6411583,14.261,1
9.6567585,36.5982022,14.688,1
9.7464203,36.5979128,14.878,1
9.8212161,36.4120881,11.301,2
9.94805,36.4557994,11.704,2
9.9315939,36.45609,11.865,2
9.8463069,36.5203242,12.185,2
9.7753261,36.4980817,12.336,2
9.8945211,36.5256425,12.788,2
9.8026894,36.4931028,13.205,2
9.8903193,36.5000381,13.319,2
9.9339144,36.4397842,13.377,2
9.81577,36.4993783,13.466,2
9.8405442,36.3937514,13.832,2
9.8645986,36.4864361,13.902,2
9.8046345,36.4745214,13.911,2
9.8931364,36.4541803,14.04,2
9.9516352,36.48098,14.108,2
9.7692003,36.3847906,14.329,2
9.8437442,36.3838497,14.507,2
9.9152547,36.5413472,14.788,2
9.8277942,36.3934892,14.852,2
9.8657278,36.5213969,14.976,2
9.7143303,36.4533464,12.782,2
9.7287042,36.4847108,14.682,2
9.9406267,36.2927575,12.56,3
9.8637947,36.2533525,12.668,3
9.8967233,36.2652186,12.973,3
9.9114575,36.3801847,13.336,3
9.966626,36.3201336,13.381,3
9.8862817,36.3740833,13.422,3
9.8310986,36.3572692,13.816,3
9.8576407,36.2775903,13.926,3
9.8424169,36.283515,14.084,3
9.9351983,36.3157192,14.297,3
